------------------------------------------------------------------------------------------------------------------------------------------
Epoch:208/500, avg validating MSE: 0.000000
Epoch:209/500, avg validating MSE: 0.000000
Epoch:210/500, avg validating MSE: 0.000000
Epoch:211/500, avg validating MSE: 0.000000
Epoch:212/500, avg validating MSE: 0.000000
Epoch:213/500, avg validating MSE: 0.000000
Epoch:214/500, avg validating MSE: 0.000000
Epoch:215/500, avg validating MSE: 0.000000
Epoch:216/500, avg validating MSE: 0.000000
Epoch:217/500, avg validating MSE: 0.000000
Epoch:218/500, avg validating MSE: 0.000000
Epoch:219/500, avg validating MSE: 0.000000
Epoch:220/500, avg validating MSE: 0.000000
Epoch:221/500, avg validating MSE: 0.000000
Epoch:222/500, avg validating MSE: 0.000000
Epoch:223/500, avg validating MSE: 0.000000
Epoch:224/500, avg validating MSE: 0.000000
Epoch:225/500, avg validating MSE: 0.000000
Epoch:226/500, avg validating MSE: 0.000000
Epoch:227/500, avg validating MSE: 0.000000
Epoch:228/500, avg validating MSE: 0.000000
Epoch:229/500, avg validating MSE: 0.000000
Epoch:230/500, avg validating MSE: 0.000000
Epoch:231/500, avg validating MSE: 0.000000
Epoch:232/500, avg validating MSE: 0.000000
Epoch:233/500, avg validating MSE: 0.000000
Epoch:234/500, avg validating MSE: 0.000000
Epoch:235/500, avg validating MSE: 0.000000
Epoch:236/500, avg validating MSE: 0.000000
Epoch:237/500, avg validating MSE: 0.000000
Epoch:238/500, avg validating MSE: 0.000000
Epoch:239/500, avg validating MSE: 0.000000
Epoch:240/500, avg validating MSE: 0.000000
Epoch:241/500, avg validating MSE: 0.000000
Epoch:242/500, avg validating MSE: 0.000000
Epoch:243/500, avg validating MSE: 0.000000
Epoch:244/500, avg validating MSE: 0.000000
Epoch:245/500, avg validating MSE: 0.000000
Epoch:246/500, avg validating MSE: 0.000000
Epoch:247/500, avg validating MSE: 0.000000
Epoch:248/500, avg validating MSE: 0.000000
Epoch:249/500, avg validating MSE: 0.000000
Epoch:250/500, avg validating MSE: 0.000000
Epoch:251/500, avg validating MSE: 0.000000
Epoch:252/500, avg validating MSE: 0.000000
Epoch:253/500, avg validating MSE: 0.000000
Epoch:254/500, avg validating MSE: 0.000000
Epoch:255/500, avg validating MSE: 0.000000
Epoch:256/500, avg validating MSE: 0.000000
Epoch:257/500, avg validating MSE: 0.000000
